n,f(n), digit_number
235,5789092068864820527338372482892113982249794889765,49
236,9366947731425726508977331996039353971111632790877,49
237,15156039800290547036315704478931467953361427680642,50
238,24522987531716273545293036474970821924473060471519,50
239,39679027332006820581608740953902289877834488152161,50
240,64202014863723094126901777428873111802307548623680,50
241,103881042195729914708510518382775401680142036775841,51
242,168083057059453008835412295811648513482449585399521,51
243,271964099255182923543922814194423915162591622175362,51
244,440047156314635932379335110006072428645041207574883,51
245,712011255569818855923257924200496343807632829750245,51
246,1152058411884454788302593034206568772452674037325128,52
247,1864069667454273644225850958407065116260306867075373,52
248,3016128079338728432528443992613633888712980904400501,52
249,4880197746793002076754294951020699004973287771475874,52
250,7896325826131730509282738943634332893686268675876375,52
251,12776523572924732586037033894655031898659556447352249,53
252,20672849399056463095319772838289364792345825123228624,53
253,33449372971981195681356806732944396691005381570580873,53
254,54122222371037658776676579571233761483351206693809497,53
255,87571595343018854458033386304178158174356588264390370,53
256,141693817714056513234709965875411919657707794958199867,54
257,229265413057075367692743352179590077832064383222590237,54
258,370959230771131880927453318055001997489772178180790104,54
259,600224643828207248620196670234592075321836561403380341,54
260,971183874599339129547649988289594072811608739584170445,54
261,1571408518427546378167846658524186148133445300987550786,55
262,2542592393026885507715496646813780220945054040571721231,55
263,4114000911454431885883343305337966369078499341559272017,55
264,6656593304481317393598839952151746590023553382130993248,55
265,10770594215935749279482183257489712959102052723690265265,56
266,17427187520417066673081023209641459549125606105821258513,56
267,28197781736352815952563206467131172508227658829511523778,56
268,45624969256769882625644229676772632057353264935332782291,56
269,73822750993122698578207436143903804565580923764844306069,56
270,119447720249892581203851665820676436622934188700177088360,57
271,193270471243015279782059101964580241188515112465021394429,57
272,312718191492907860985910767785256677811449301165198482789,57
273,505988662735923140767969869749836918999964413630219877218,57
274,818706854228831001753880637535093596811413714795418360007,57
275,1324695516964754142521850507284930515811378128425638237225,58
276,2143402371193585144275731144820024112622791843221056597232,58
277,3468097888158339286797581652104954628434169971646694834457,58
278,5611500259351924431073312796924978741056961814867751431689,58
279,9079598147510263717870894449029933369491131786514446266146,58
280,14691098406862188148944207245954912110548093601382197697835,59
281,23770696554372451866815101694984845480039225387896643963981,59
282,38461794961234640015759308940939757590587318989278841661816,59
283,62232491515607091882574410635924603070626544377175485625797,59
284,100694286476841731898333719576864360661213863366454327287613,60
285,162926777992448823780908130212788963731840407743629812913410,60
286,263621064469290555679241849789653324393054271110084140201023,60
287,426547842461739379460149980002442288124894678853713953114433,60
288,690168906931029935139391829792095612517948949963798093315456,60
289,1116716749392769314599541809794537900642843628817512046429889,61
290,1806885656323799249738933639586633513160792578781310139745345,61
291,2923602405716568564338475449381171413803636207598822186175234,61
292,4730488062040367814077409088967804926964428786380132325920579,61
293,7654090467756936378415884538348976340768064993978954512095813,61
294,12384578529797304192493293627316781267732493780359086838016392,62
295,20038668997554240570909178165665757608500558774338041350112205,62
296,32423247527351544763402471792982538876233052554697128188128597,62
297,52461916524905785334311649958648296484733611329035169538240802,62
298,84885164052257330097714121751630835360966663883732297726369399,62
299,137347080577163115432025771710279131845700275212767467264610201,63
300,222232244629420445529739893461909967206666939096499764990979600,63
301,359579325206583560961765665172189099052367214309267232255589801,63
302,581811569836004006491505558634099066259034153405766997246569401,63
303,941390895042587567453271223806288165311401367715034229502159202,63
304,1523202464878591573944776782440387231570435521120801226748728603,64
305,2464593359921179141398048006246675396881836888835835456250887805,64
306,3987795824799770715342824788687062628452272409956636682999616408,64
307,6452389184720949856740872794933738025334109298792472139250504213,64
308,10440185009520720572083697583620800653786381708749108822250120621,65
309,16892574194241670428824570378554538679120491007541580961500624834,65
310,27332759203762391000908267962175339332906872716290689783750745455,65
311,44225333398004061429732838340729878012027363723832270745251370289,65
312,71558092601766452430641106302905217344934236440122960529002115744,65
